food_name,serving_description,serving_size_g,calories,fat,carbohydrate,protein,fatsecret_url,source,air,serat,kategori,label_kategori,asal_daerah
Soto Betawi,1 Porsi (270 g),270.0,363,23.9,30.88,10.93,https://www.fatsecret.co.id/kalori-gizi/umum/soto-betawi,fatsecret_manual,,,,,DKI Jakarta
Nasi Uduk,1 Porsi (160 g),160.0,260,12.95,32.84,4.07,https://www.fatsecret.co.id/kalori-gizi/umum/nasi-uduk,fatsecret_manual,,,,,DKI Jakarta
Kerak Telor,1 Porsi (185 g),185.0,452,15.81,55.58,20.11,https://www.fatsecret.co.id/kalori-gizi/umum/kerak-telor,fatsecret_manual,,,,,DKI Jakarta
Asinan,1 Porsi (200 g),200.0,148,5.02,22.97,4.97,https://www.fatsecret.co.id/kalori-gizi/umum/asinan,fatsecret_manual,,,,,DKI Jakarta
Ketoprak,1 Porsi (200 g),200.0,402,15.34,50.48,15.59,https://www.fatsecret.co.id/kalori-gizi/umum/ketoprak,fatsecret_manual,,,,,DKI Jakarta
Semur Jengkol,100 gram,100.0,212,10.0,29.1,6.0,https://www.fatsecret.co.id/kalori-gizi/rumah-makan-sederhana/semur-jengkol,fatsecret_manual,,,,,Umum
Karedok,1 Porsi (241 g),241.0,300,16.79,24.67,16.53,https://www.fatsecret.co.id/kalori-gizi/umum/karedok,fatsecret_manual,,,,,Jawa Barat
Tahu Sumedang,1 Porsi (240 g),240.0,282,19.35,10.41,16.96,https://www.fatsecret.co.id/kalori-gizi/umum/tahu-sumedang,fatsecret_manual,,,,,Jawa Barat
Tahu Gejrot,1 Porsi (80 g),80.0,79,6.43,1.45,4.84,https://www.fatsecret.co.id/kalori-gizi/umum/tahu-gejrot,fatsecret_manual,,,,,Jawa Barat
Empal Gentong,1 Porsi (250 g),250.0,415,29.83,14.28,25.94,https://www.fatsecret.co.id/kalori-gizi/umum/empal-gentong,fatsecret_manual,,,,,Jawa Barat
Sate Maranggi,1 Tusuk,,38,1.62,0.94,5.01,https://www.fatsecret.co.id/kalori-gizi/umum/sate-maranggi,fatsecret_manual,,,,,Jawa Barat
Cimol,1 Potong,,44,1.04,8.27,0.19,https://www.fatsecret.co.id/kalori-gizi/umum/cimol,fatsecret_manual,,,,,Jawa Barat
